 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, rowcost
C# minor blues (4#), 4:0:0:0:0, 4:1:0:0:1, 5:0:1:0:1, 3:0:0:0:0, 6:0:0:0:0, 6:0:0:0:0, 4:0:0:0:0, 2:0:0:0:0, 4:1:0:0:1, 4:1:0:0:1, 5:0:1:0:1, 3:0:0:0:0, 6:0:0:0:0, 6:0:0:0:0, 2:1:0:0:1, 2:0:0:0:0, 3:0:0:0:0, 2:0:0:0:0, 2:0:0:0:0, 3:0:0:0:0, 4:0:0:0:0, 3:0:0:0:0, 3:0:0:0:0, 4:0:0:0:0, 4:0:0:0:0, 4:1:0:0:1, 5:0:1:0:1, 3:0:0:0:0, 6:0:0:0:0, 6:0:0:0:0, 4:0:0:0:0, 3:0:0:0:0, 2:0:0:0:0, 4:1:0:0:1, 4:1:1:0:2, 6:0:0:0:0, 5:2:0:0:2, 1:0:0:0:0,  ,  , 2:0:1:0:1, 5:1:0:0:1, 4:0:1:0:1, 4:1:0:0:1, 4:0:1:0:1, 6:0:1:0:1, 3:0:1:0:1, 1:0:0:0:0, 3:0:0:0:0,  , 5:0:1:0:1, 3:0:0:0:0, 4:0:0:0:0, 7:1:1:0:2, 2:1:0:0:1, 4:1:0:0:1, 4:1:0:0:1,  , 2:0:1:0:1, 5:0:0:0:0, 3:1:0:0:1, 4:0:1:0:1, 4:1:0:0:1, 2:0:0:0:0, 1:0:0:0:0, 229:17:13:0:30
Ab dorian (4b), 1:0:0:0:1, 2:0:0:0:1, 3:1:0:0:2, 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 2:0:0:0:1, 0:0:0:0:0, 1:0:0:0:1, 2:0:0:0:1, 3:1:0:0:2, 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:1, 2:0:0:0:1, 4:0:0:0:2, 3:0:0:0:2, 4:0:1:0:2, 2:0:0:0:1, 2:0:0:0:1, 2:0:1:0:0, 2:0:0:0:0, 2:0:0:0:0, 1:0:0:0:1, 2:0:0:0:1, 3:1:0:0:2, 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 2:0:0:0:1, 2:0:0:0:1, 1:0:0:0:1, 2:0:0:0:2, 4:0:0:0:1, 3:0:1:0:0, 2:0:0:0:0, 0:0:0:0:0,  ,  , 1:0:0:0:1, 2:0:0:0:1, 0:0:0:0:0, 3:0:0:0:2, 1:0:0:0:0, 2:0:0:0:0, 1:0:0:0:0, 2:0:0:0:1, 5:1:0:0:4,  , 4:1:0:0:2, 2:0:1:0:0, 3:0:0:0:2, 5:0:0:0:2, 4:0:1:0:1, 2:0:0:0:1, 2:0:0:0:1,  , 0:0:0:0:0, 2:0:0:0:0, 2:0:0:0:1, 1:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 0:0:0:0:0, 117:5:5:0:51
E dorian (4#), 4:0:0:0:0, 4:1:0:0:1, 5:0:1:0:1, 3:0:0:0:0, 6:0:0:0:0, 6:0:0:0:0, 4:0:0:0:0, 2:0:0:0:0, 4:1:0:0:1, 4:1:0:0:1, 5:0:1:0:1, 3:0:0:0:0, 6:0:0:0:0, 6:0:0:0:0, 2:1:0:0:1, 2:0:0:0:0, 3:0:0:0:0, 2:0:0:0:0, 2:0:0:0:0, 3:0:0:0:0, 4:0:0:0:0, 3:0:0:0:0, 3:0:0:0:0, 4:0:0:0:0, 4:0:0:0:0, 4:1:0:0:1, 5:0:1:0:1, 3:0:0:0:0, 6:0:0:0:0, 6:0:0:0:0, 4:0:0:0:0, 3:0:0:0:0, 2:0:0:0:0, 4:1:0:0:1, 4:1:1:0:2, 6:0:0:0:0, 5:2:0:0:2, 1:0:0:0:0,  ,  , 2:0:1:0:1, 5:1:0:0:1, 4:0:1:0:1, 4:1:0:0:1, 4:0:1:0:1, 6:0:1:0:1, 3:0:1:0:1, 1:0:0:0:0, 3:0:0:0:0,  , 5:0:1:0:1, 3:0:0:0:0, 4:0:0:0:0, 7:1:1:0:2, 2:1:0:0:1, 4:1:0:0:1, 4:1:0:0:1,  , 2:0:1:0:1, 5:0:0:0:0, 3:1:0:0:1, 4:0:1:0:1, 4:1:0:0:1, 2:0:0:0:0, 1:0:0:0:0, 229:17:13:0:30
Ab phrygian (4b), 1:0:0:0:1, 2:0:0:0:1, 3:1:0:0:2, 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 2:0:0:0:1, 0:0:0:0:0, 1:0:0:0:1, 2:0:0:0:1, 3:1:0:0:2, 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:1, 2:0:0:0:1, 4:0:0:0:2, 3:0:0:0:2, 4:0:1:0:2, 2:0:0:0:1, 2:0:0:0:1, 2:0:1:0:0, 2:0:0:0:0, 2:0:0:0:0, 1:0:0:0:1, 2:0:0:0:1, 3:1:0:0:2, 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 2:0:0:0:1, 2:0:0:0:1, 1:0:0:0:1, 2:0:0:0:2, 4:0:0:0:1, 3:0:1:0:0, 2:0:0:0:0, 0:0:0:0:0,  ,  , 1:0:0:0:1, 2:0:0:0:1, 0:0:0:0:0, 3:0:0:0:2, 1:0:0:0:0, 2:0:0:0:0, 1:0:0:0:0, 2:0:0:0:1, 5:1:0:0:4,  , 4:1:0:0:2, 2:0:1:0:0, 3:0:0:0:2, 5:0:0:0:2, 4:0:1:0:1, 2:0:0:0:1, 2:0:0:0:1,  , 0:0:0:0:0, 2:0:0:0:0, 2:0:0:0:1, 1:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 0:0:0:0:0, 117:5:5:0:51
E phrygian (4#), 4:0:0:0:0, 4:1:0:0:1, 5:0:1:0:1, 3:0:0:0:0, 6:0:0:0:0, 6:0:0:0:0, 4:0:0:0:0, 2:0:0:0:0, 4:1:0:0:1, 4:1:0:0:1, 5:0:1:0:1, 3:0:0:0:0, 6:0:0:0:0, 6:0:0:0:0, 2:1:0:0:1, 2:0:0:0:0, 3:0:0:0:0, 2:0:0:0:0, 2:0:0:0:0, 3:0:0:0:0, 4:0:0:0:0, 3:0:0:0:0, 3:0:0:0:0, 4:0:0:0:0, 4:0:0:0:0, 4:1:0:0:1, 5:0:1:0:1, 3:0:0:0:0, 6:0:0:0:0, 6:0:0:0:0, 4:0:0:0:0, 3:0:0:0:0, 2:0:0:0:0, 4:1:0:0:1, 4:1:1:0:2, 6:0:0:0:0, 5:2:0:0:2, 1:0:0:0:0,  ,  , 2:0:1:0:1, 5:1:0:0:1, 4:0:1:0:1, 4:1:0:0:1, 4:0:1:0:1, 6:0:1:0:1, 3:0:1:0:1, 1:0:0:0:0, 3:0:0:0:0,  , 5:0:1:0:1, 3:0:0:0:0, 4:0:0:0:0, 7:1:1:0:2, 2:1:0:0:1, 4:1:0:0:1, 4:1:0:0:1,  , 2:0:1:0:1, 5:0:0:0:0, 3:1:0:0:1, 4:0:1:0:1, 4:1:0:0:1, 2:0:0:0:0, 1:0:0:0:0, 229:17:13:0:30
Ab lydian (4b), 1:0:0:0:1, 2:0:0:0:1, 3:1:0:0:2, 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 2:0:0:0:1, 0:0:0:0:0, 1:0:0:0:1, 2:0:0:0:1, 3:1:0:0:2, 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:1, 2:0:0:0:1, 4:0:0:0:2, 3:0:0:0:2, 4:0:1:0:2, 2:0:0:0:1, 2:0:0:0:1, 2:0:1:0:0, 2:0:0:0:0, 2:0:0:0:0, 1:0:0:0:1, 2:0:0:0:1, 3:1:0:0:2, 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 2:0:0:0:1, 2:0:0:0:1, 1:0:0:0:1, 2:0:0:0:2, 4:0:0:0:1, 3:0:1:0:0, 2:0:0:0:0, 0:0:0:0:0,  ,  , 1:0:0:0:1, 2:0:0:0:1, 0:0:0:0:0, 3:0:0:0:2, 1:0:0:0:0, 2:0:0:0:0, 1:0:0:0:0, 2:0:0:0:1, 5:1:0:0:4,  , 4:1:0:0:2, 2:0:1:0:0, 3:0:0:0:2, 5:0:0:0:2, 4:0:1:0:1, 2:0:0:0:1, 2:0:0:0:1,  , 0:0:0:0:0, 2:0:0:0:0, 2:0:0:0:1, 1:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 0:0:0:0:0, 117:5:5:0:51
E lydian (4#), 4:0:0:0:0, 4:1:0:0:1, 5:0:1:0:1, 3:0:0:0:0, 6:0:0:0:0, 6:0:0:0:0, 4:0:0:0:0, 2:0:0:0:0, 4:1:0:0:1, 4:1:0:0:1, 5:0:1:0:1, 3:0:0:0:0, 6:0:0:0:0, 6:0:0:0:0, 2:1:0:0:1, 2:0:0:0:0, 3:0:0:0:0, 2:0:0:0:0, 2:0:0:0:0, 3:0:0:0:0, 4:0:0:0:0, 3:0:0:0:0, 3:0:0:0:0, 4:0:0:0:0, 4:0:0:0:0, 4:1:0:0:1, 5:0:1:0:1, 3:0:0:0:0, 6:0:0:0:0, 6:0:0:0:0, 4:0:0:0:0, 3:0:0:0:0, 2:0:0:0:0, 4:1:0:0:1, 4:1:1:0:2, 6:0:0:0:0, 5:2:0:0:2, 1:0:0:0:0,  ,  , 2:0:1:0:1, 5:1:0:0:1, 4:0:1:0:1, 4:1:0:0:1, 4:0:1:0:1, 6:0:1:0:1, 3:0:1:0:1, 1:0:0:0:0, 3:0:0:0:0,  , 5:0:1:0:1, 3:0:0:0:0, 4:0:0:0:0, 7:1:1:0:2, 2:1:0:0:1, 4:1:0:0:1, 4:1:0:0:1,  , 2:0:1:0:1, 5:0:0:0:0, 3:1:0:0:1, 4:0:1:0:1, 4:1:0:0:1, 2:0:0:0:0, 1:0:0:0:0, 229:17:13:0:30
Ab mixolydian (4b), 1:0:0:0:1, 2:0:0:0:1, 3:1:0:0:2, 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 2:0:0:0:1, 0:0:0:0:0, 1:0:0:0:1, 2:0:0:0:1, 3:1:0:0:2, 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:1, 2:0:0:0:1, 4:0:0:0:2, 3:0:0:0:2, 4:0:1:0:2, 2:0:0:0:1, 2:0:0:0:1, 2:0:1:0:0, 2:0:0:0:0, 2:0:0:0:0, 1:0:0:0:1, 2:0:0:0:1, 3:1:0:0:2, 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 2:0:0:0:1, 2:0:0:0:1, 1:0:0:0:1, 2:0:0:0:2, 4:0:0:0:1, 3:0:1:0:0, 2:0:0:0:0, 0:0:0:0:0,  ,  , 1:0:0:0:1, 2:0:0:0:1, 0:0:0:0:0, 3:0:0:0:2, 1:0:0:0:0, 2:0:0:0:0, 1:0:0:0:0, 2:0:0:0:1, 5:1:0:0:4,  , 4:1:0:0:2, 2:0:1:0:0, 3:0:0:0:2, 5:0:0:0:2, 4:0:1:0:1, 2:0:0:0:1, 2:0:0:0:1,  , 0:0:0:0:0, 2:0:0:0:0, 2:0:0:0:1, 1:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 0:0:0:0:0, 117:5:5:0:51
E mixolydian (4#), 4:0:0:0:0, 4:1:0:0:1, 5:0:1:0:1, 3:0:0:0:0, 6:0:0:0:0, 6:0:0:0:0, 4:0:0:0:0, 2:0:0:0:0, 4:1:0:0:1, 4:1:0:0:1, 5:0:1:0:1, 3:0:0:0:0, 6:0:0:0:0, 6:0:0:0:0, 2:1:0:0:1, 2:0:0:0:0, 3:0:0:0:0, 2:0:0:0:0, 2:0:0:0:0, 3:0:0:0:0, 4:0:0:0:0, 3:0:0:0:0, 3:0:0:0:0, 4:0:0:0:0, 4:0:0:0:0, 4:1:0:0:1, 5:0:1:0:1, 3:0:0:0:0, 6:0:0:0:0, 6:0:0:0:0, 4:0:0:0:0, 3:0:0:0:0, 2:0:0:0:0, 4:1:0:0:1, 4:1:1:0:2, 6:0:0:0:0, 5:2:0:0:2, 1:0:0:0:0,  ,  , 2:0:1:0:1, 5:1:0:0:1, 4:0:1:0:1, 4:1:0:0:1, 4:0:1:0:1, 6:0:1:0:1, 3:0:1:0:1, 1:0:0:0:0, 3:0:0:0:0,  , 5:0:1:0:1, 3:0:0:0:0, 4:0:0:0:0, 7:1:1:0:2, 2:1:0:0:1, 4:1:0:0:1, 4:1:0:0:1,  , 2:0:1:0:1, 5:0:0:0:0, 3:1:0:0:1, 4:0:1:0:1, 4:1:0:0:1, 2:0:0:0:0, 1:0:0:0:0, 229:17:13:0:30
Ab aeolian (4b), 1:0:0:0:1, 2:0:0:0:1, 3:1:0:0:2, 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 2:0:0:0:1, 0:0:0:0:0, 1:0:0:0:1, 2:0:0:0:1, 3:1:0:0:2, 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:1, 2:0:0:0:1, 4:0:0:0:2, 3:0:0:0:2, 4:0:1:0:2, 2:0:0:0:1, 2:0:0:0:1, 2:0:1:0:0, 2:0:0:0:0, 2:0:0:0:0, 1:0:0:0:1, 2:0:0:0:1, 3:1:0:0:2, 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 2:0:0:0:1, 2:0:0:0:1, 1:0:0:0:1, 2:0:0:0:2, 4:0:0:0:1, 3:0:1:0:0, 2:0:0:0:0, 0:0:0:0:0,  ,  , 1:0:0:0:1, 2:0:0:0:1, 0:0:0:0:0, 3:0:0:0:2, 1:0:0:0:0, 2:0:0:0:0, 1:0:0:0:0, 2:0:0:0:1, 5:1:0:0:4,  , 4:1:0:0:2, 2:0:1:0:0, 3:0:0:0:2, 5:0:0:0:2, 4:0:1:0:1, 2:0:0:0:1, 2:0:0:0:1,  , 0:0:0:0:0, 2:0:0:0:0, 2:0:0:0:1, 1:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 0:0:0:0:0, 117:5:5:0:51
E aeolian (4#), 4:0:0:0:0, 4:1:0:0:1, 5:0:1:0:1, 3:0:0:0:0, 6:0:0:0:0, 6:0:0:0:0, 4:0:0:0:0, 2:0:0:0:0, 4:1:0:0:1, 4:1:0:0:1, 5:0:1:0:1, 3:0:0:0:0, 6:0:0:0:0, 6:0:0:0:0, 2:1:0:0:1, 2:0:0:0:0, 3:0:0:0:0, 2:0:0:0:0, 2:0:0:0:0, 3:0:0:0:0, 4:0:0:0:0, 3:0:0:0:0, 3:0:0:0:0, 4:0:0:0:0, 4:0:0:0:0, 4:1:0:0:1, 5:0:1:0:1, 3:0:0:0:0, 6:0:0:0:0, 6:0:0:0:0, 4:0:0:0:0, 3:0:0:0:0, 2:0:0:0:0, 4:1:0:0:1, 4:1:1:0:2, 6:0:0:0:0, 5:2:0:0:2, 1:0:0:0:0,  ,  , 2:0:1:0:1, 5:1:0:0:1, 4:0:1:0:1, 4:1:0:0:1, 4:0:1:0:1, 6:0:1:0:1, 3:0:1:0:1, 1:0:0:0:0, 3:0:0:0:0,  , 5:0:1:0:1, 3:0:0:0:0, 4:0:0:0:0, 7:1:1:0:2, 2:1:0:0:1, 4:1:0:0:1, 4:1:0:0:1,  , 2:0:1:0:1, 5:0:0:0:0, 3:1:0:0:1, 4:0:1:0:1, 4:1:0:0:1, 2:0:0:0:0, 1:0:0:0:0, 229:17:13:0:30
Ab locrian (4b), 1:0:0:0:1, 2:0:0:0:1, 3:1:0:0:2, 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 2:0:0:0:1, 0:0:0:0:0, 1:0:0:0:1, 2:0:0:0:1, 3:1:0:0:2, 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:1, 2:0:0:0:1, 4:0:0:0:2, 3:0:0:0:2, 4:0:1:0:2, 2:0:0:0:1, 2:0:0:0:1, 2:0:1:0:0, 2:0:0:0:0, 2:0:0:0:0, 1:0:0:0:1, 2:0:0:0:1, 3:1:0:0:2, 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 2:0:0:0:1, 2:0:0:0:1, 1:0:0:0:1, 2:0:0:0:2, 4:0:0:0:1, 3:0:1:0:0, 2:0:0:0:0, 0:0:0:0:0,  ,  , 1:0:0:0:1, 2:0:0:0:1, 0:0:0:0:0, 3:0:0:0:2, 1:0:0:0:0, 2:0:0:0:0, 1:0:0:0:0, 2:0:0:0:1, 5:1:0:0:4,  , 4:1:0:0:2, 2:0:1:0:0, 3:0:0:0:2, 5:0:0:0:2, 4:0:1:0:1, 2:0:0:0:1, 2:0:0:0:1,  , 0:0:0:0:0, 2:0:0:0:0, 2:0:0:0:1, 1:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 0:0:0:0:0, 117:5:5:0:51
E locrian (4#), 4:0:0:0:0, 4:1:0:0:1, 5:0:1:0:1, 3:0:0:0:0, 6:0:0:0:0, 6:0:0:0:0, 4:0:0:0:0, 2:0:0:0:0, 4:1:0:0:1, 4:1:0:0:1, 5:0:1:0:1, 3:0:0:0:0, 6:0:0:0:0, 6:0:0:0:0, 2:1:0:0:1, 2:0:0:0:0, 3:0:0:0:0, 2:0:0:0:0, 2:0:0:0:0, 3:0:0:0:0, 4:0:0:0:0, 3:0:0:0:0, 3:0:0:0:0, 4:0:0:0:0, 4:0:0:0:0, 4:1:0:0:1, 5:0:1:0:1, 3:0:0:0:0, 6:0:0:0:0, 6:0:0:0:0, 4:0:0:0:0, 3:0:0:0:0, 2:0:0:0:0, 4:1:0:0:1, 4:1:1:0:2, 6:0:0:0:0, 5:2:0:0:2, 1:0:0:0:0,  ,  , 2:0:1:0:1, 5:1:0:0:1, 4:0:1:0:1, 4:1:0:0:1, 4:0:1:0:1, 6:0:1:0:1, 3:0:1:0:1, 1:0:0:0:0, 3:0:0:0:0,  , 5:0:1:0:1, 3:0:0:0:0, 4:0:0:0:0, 7:1:1:0:2, 2:1:0:0:1, 4:1:0:0:1, 4:1:0:0:1,  , 2:0:1:0:1, 5:0:0:0:0, 3:1:0:0:1, 4:0:1:0:1, 4:1:0:0:1, 2:0:0:0:0, 1:0:0:0:0, 229:17:13:0:30
Db major (5b), 2:0:0:0:1, 3:0:0:0:2, 4:0:0:1:3, 1:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 2:0:0:0:2, 0:0:0:0:0, 2:0:0:0:1, 3:0:0:0:2, 3:0:0:0:2, 1:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 2:0:0:0:2, 5:0:0:0:3, 3:0:0:0:3, 4:0:1:0:3, 3:0:0:0:2, 3:0:0:0:2, 3:0:1:0:1, 1:0:0:0:1, 1:0:0:0:1, 2:0:0:0:1, 3:0:0:0:2, 4:0:0:1:3, 1:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 2:0:0:0:2, 2:0:0:0:2, 1:0:0:0:1, 2:0:0:0:2, 5:0:0:0:2, 4:0:1:0:1, 3:0:0:0:1, 0:0:0:0:0,  ,  , 1:0:0:0:1, 3:0:0:0:1, 1:0:0:0:0, 2:0:0:0:2, 1:0:0:0:1, 3:0:0:0:1, 1:0:0:0:1, 2:0:0:0:2, 6:0:0:0:4,  , 4:0:0:0:2, 2:0:1:0:1, 4:0:0:0:3, 6:0:0:0:4, 3:0:1:0:1, 3:0:0:0:2, 2:0:0:0:2,  , 0:0:0:0:0, 3:0:0:0:1, 3:0:0:0:1, 2:0:0:0:1, 2:0:0:0:2, 2:0:0:0:2, 0:0:0:0:0, 145:0:5:2:93
B major (5#), 5:0:0:0:1, 4:0:0:0:0, 6:0:1:0:0, 2:0:0:0:0, 5:0:0:0:1, 5:0:0:0:1, 5:0:0:0:1, 1:0:0:0:0, 5:1:0:0:2, 4:0:0:0:0, 6:0:1:0:0, 2:0:0:0:0, 5:0:0:0:1, 5:0:0:0:1, 3:0:0:1:1, 2:0:0:0:0, 4:0:0:0:0, 3:0:0:0:0, 3:0:0:0:0, 4:0:0:0:1, 4:0:0:0:1, 3:0:0:0:0, 2:0:0:0:0, 3:0:0:0:1, 5:0:0:0:1, 4:0:0:0:0, 6:0:1:0:0, 2:0:0:0:0, 5:0:0:0:1, 5:0:0:0:1, 5:0:0:0:1, 4:0:0:0:1, 1:0:0:0:1, 4:0:0:1:2, 4:0:1:0:0, 5:0:0:0:1, 5:0:0:0:0, 1:0:0:0:1,  ,  , 3:0:1:0:1, 6:0:0:1:2, 3:0:1:0:2, 4:0:0:0:1, 3:0:1:0:2, 5:0:1:0:0, 3:0:1:0:2, 1:0:0:0:0, 4:0:0:0:0,  , 5:0:1:0:0, 2:0:0:0:1, 5:0:0:0:1, 8:0:1:0:2, 3:1:0:0:1, 4:0:0:0:1, 5:0:0:0:1,  , 1:0:1:0:1, 4:0:0:0:1, 4:0:0:0:1, 5:0:1:0:1, 5:0:0:1:2, 2:0:0:0:1, 1:0:0:0:0, 233:2:13:4:46
Bb minor (5b), 2:0:0:0:1, 3:0:0:0:2, 4:0:0:1:3, 1:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 2:0:0:0:2, 0:0:0:0:0, 2:0:0:0:1, 3:0:0:0:2, 3:0:0:0:2, 1:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 2:0:0:0:2, 5:0:0:0:3, 3:0:0:0:3, 4:0:1:0:3, 3:0:0:0:2, 3:0:0:0:2, 3:0:1:0:1, 1:0:0:0:1, 1:0:0:0:1, 2:0:0:0:1, 3:0:0:0:2, 4:0:0:1:3, 1:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 2:0:0:0:2, 2:0:0:0:2, 1:0:0:0:1, 2:0:0:0:2, 5:0:0:0:2, 4:0:1:0:1, 3:0:0:0:1, 0:0:0:0:0,  ,  , 1:0:0:0:1, 3:0:0:0:1, 1:0:0:0:0, 2:0:0:0:2, 1:0:0:0:1, 3:0:0:0:1, 1:0:0:0:1, 2:0:0:0:2, 6:0:0:0:4,  , 4:0:0:0:2, 2:0:1:0:1, 4:0:0:0:3, 6:0:0:0:4, 3:0:1:0:1, 3:0:0:0:2, 2:0:0:0:2,  , 0:0:0:0:0, 3:0:0:0:1, 3:0:0:0:1, 2:0:0:0:1, 2:0:0:0:2, 2:0:0:0:2, 0:0:0:0:0, 145:0:5:2:93
G# minor (5#), 5:0:0:0:1, 4:0:0:0:0, 6:0:1:0:0, 2:0:0:0:0, 5:0:0:0:1, 5:0:0:0:1, 5:0:0:0:1, 1:0:0:0:0, 5:1:0:0:2, 4:0:0:0:0, 6:0:1:0:0, 2:0:0:0:0, 5:0:0:0:1, 5:0:0:0:1, 3:0:0:1:1, 2:0:0:0:0, 4:0:0:0:0, 3:0:0:0:0, 3:0:0:0:0, 4:0:0:0:1, 4:0:0:0:1, 3:0:0:0:0, 2:0:0:0:0, 3:0:0:0:1, 5:0:0:0:1, 4:0:0:0:0, 6:0:1:0:0, 2:0:0:0:0, 5:0:0:0:1, 5:0:0:0:1, 5:0:0:0:1, 4:0:0:0:1, 1:0:0:0:1, 4:0:0:1:2, 4:0:1:0:0, 5:0:0:0:1, 5:0:0:0:0, 1:0:0:0:1,  ,  , 3:0:1:0:1, 6:0:0:1:2, 3:0:1:0:2, 4:0:0:0:1, 3:0:1:0:2, 5:0:1:0:0, 3:0:1:0:2, 1:0:0:0:0, 4:0:0:0:0,  , 5:0:1:0:0, 2:0:0:0:1, 5:0:0:0:1, 8:0:1:0:2, 3:1:0:0:1, 4:0:0:0:1, 5:0:0:0:1,  , 1:0:1:0:1, 4:0:0:0:1, 4:0:0:0:1, 5:0:1:0:1, 5:0:0:1:2, 2:0:0:0:1, 1:0:0:0:0, 233:2:13:4:46
Bb minor mel (5b), 2:0:0:0:1, 3:0:0:0:2, 4:0:0:1:3, 1:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 2:0:0:0:2, 0:0:0:0:0, 2:0:0:0:1, 3:0:0:0:2, 3:0:0:0:2, 1:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 2:0:0:0:2, 5:0:0:0:3, 3:0:0:0:3, 4:0:1:0:3, 3:0:0:0:2, 3:0:0:0:2, 3:0:1:0:1, 1:0:0:0:1, 1:0:0:0:1, 2:0:0:0:1, 3:0:0:0:2, 4:0:0:1:3, 1:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 2:0:0:0:2, 2:0:0:0:2, 1:0:0:0:1, 2:0:0:0:2, 5:0:0:0:2, 4:0:1:0:1, 3:0:0:0:1, 0:0:0:0:0,  ,  , 1:0:0:0:1, 3:0:0:0:1, 1:0:0:0:0, 2:0:0:0:2, 1:0:0:0:1, 3:0:0:0:1, 1:0:0:0:1, 2:0:0:0:2, 6:0:0:0:4,  , 4:0:0:0:2, 2:0:1:0:1, 4:0:0:0:3, 6:0:0:0:4, 3:0:1:0:1, 3:0:0:0:2, 2:0:0:0:2,  , 0:0:0:0:0, 3:0:0:0:1, 3:0:0:0:1, 2:0:0:0:1, 2:0:0:0:2, 2:0:0:0:2, 0:0:0:0:0, 145:0:5:2:93
G# minor mel (5#), 5:0:0:0:1, 4:0:0:0:0, 6:0:1:0:0, 2:0:0:0:0, 5:0:0:0:1, 5:0:0:0:1, 5:0:0:0:1, 1:0:0:0:0, 5:1:0:0:2, 4:0:0:0:0, 6:0:1:0:0, 2:0:0:0:0, 5:0:0:0:1, 5:0:0:0:1, 3:0:0:1:1, 2:0:0:0:0, 4:0:0:0:0, 3:0:0:0:0, 3:0:0:0:0, 4:0:0:0:1, 4:0:0:0:1, 3:0:0:0:0, 2:0:0:0:0, 3:0:0:0:1, 5:0:0:0:1, 4:0:0:0:0, 6:0:1:0:0, 2:0:0:0:0, 5:0:0:0:1, 5:0:0:0:1, 5:0:0:0:1, 4:0:0:0:1, 1:0:0:0:1, 4:0:0:1:2, 4:0:1:0:0, 5:0:0:0:1, 5:0:0:0:0, 1:0:0:0:1,  ,  , 3:0:1:0:1, 6:0:0:1:2, 3:0:1:0:2, 4:0:0:0:1, 3:0:1:0:2, 5:0:1:0:0, 3:0:1:0:2, 1:0:0:0:0, 4:0:0:0:0,  , 5:0:1:0:0, 2:0:0:0:1, 5:0:0:0:1, 8:0:1:0:2, 3:1:0:0:1, 4:0:0:0:1, 5:0:0:0:1,  , 1:0:1:0:1, 4:0:0:0:1, 4:0:0:0:1, 5:0:1:0:1, 5:0:0:1:2, 2:0:0:0:1, 1:0:0:0:0, 233:2:13:4:46
